PID,EVENT NAME,SIZE,NUM,UTime,STime,NVCSW,NIVCSW,ENTER TIME, RETURN TIME, TOTAL TIME
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.31, 1660551799.31, 0.15
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.31, 1660551799.31, 0.15
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.31, 1660551799.31, 0.15
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.31, 1660551799.31, 0.15
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.31, 1660551799.31, 0.15
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.31, 1660551799.31, 0.15
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.31, 1660551799.31, 0.15
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.14
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
